Id,Start time,Completion time,Email,Name,Is a hotdog a sandwich?,Explain your answer.,What year are you? ,Where are you from? 
57,1/16/25 12:32,1/16/25 12:33,anonymous,NA,No,My head says it is but my heart says it isn’t ,Second-Year ,New York 
58,1/16/25 12:37,1/16/25 12:37,anonymous,NA,Yes ,a piece of meat or veggies between bread is a sandwich,Third-Year,The world
59,1/16/25 12:05,1/16/25 12:43,anonymous,NA,No,NA,Fourth-Year ,"Virginia Beach, VA"
60,1/16/25 12:40,1/16/25 12:47,anonymous,NA,Yes ,"subs and sandwhiches and hotdogs have sub bread. a hot dog by itself is technically a sausage, and sandwiches can be made with sausage (i.e. breakfast sandwhiches). ",Fourth-Year ,virginia 
61,1/16/25 13:06,1/16/25 13:06,anonymous,NA,No,A bun does not make a sandwich,Fourth-Year ,New York
62,1/16/25 13:06,1/16/25 13:06,anonymous,NA,No,It’s more of a taco ,Fourth-Year ,Virginia
63,1/16/25 13:14,1/16/25 13:14,anonymous,NA,Yes ,Two pieces of braid with something in between,Second-Year ,"Princeton, New Jersey"
64,1/16/25 13:28,1/16/25 13:33,anonymous,NA,No,"According to the online definition: ""a sandwich is an item of food consisting of 2 slices of bread"". I belive using a bun does not qualify as using 2 slices of bread. Therefore, a hotdog is not a sandwich.",Fourth-Year ,Charlottesville 
65,1/16/25 13:49,1/16/25 13:49,anonymous,NA,No,if i saw it under the sandwich section on a menu id be confused,Third-Year,Boston
66,1/16/25 13:58,1/16/25 13:58,anonymous,NA,No,It’s made with one piece of bread therefore it is not a sandwich,Third-Year,Cincinnati 
67,1/16/25 14:02,1/16/25 14:02,anonymous,NA,No,Its a roll,Graduate Student,Northern Virginia
68,1/16/25 14:08,1/16/25 14:09,anonymous,NA,No,"It’s not a sandwich because there are not two separate pieces of bread. It’s all one piece of bread that is folded with an opening on one side. Thus, a hot dog is actually under the classification of a taco. ",Fourth-Year ,"Richmond, Virginia"
69,1/16/25 14:21,1/16/25 14:22,anonymous,NA,No,it's not,Fourth-Year ,seattle
70,1/16/25 14:23,1/16/25 14:24,anonymous,NA,No,A sandwich can close and a hot dog does not completely close,Third-Year,NOVA
71,1/16/25 17:28,1/16/25 17:34,anonymous,NA,Yes ,A sub is a sandwich so a meatball sub is a sandwich and a hot dog is really similar ,Third-Year,Northern Virginia 
72,1/16/25 19:53,1/16/25 19:55,anonymous,NA,No,The orientation that a hot dog is typically eaten is fundamentally different than that of a sandwich. ,Fourth-Year ,"Staunton, VA"
73,1/16/25 20:15,1/16/25 20:15,anonymous,NA,No,Why would it be a sandwich????,Second-Year ,"Williamsburg, VA"
74,1/16/25 20:15,1/16/25 20:15,anonymous,NA,Yes ,IT'S MEATS AND TOPPINGS IN TWO SIDES OF BREAD IT'S A SANDO,Third-Year,Reston VA
75,1/16/25 20:15,1/16/25 20:16,anonymous,NA,No,"i subscribe to the ""cube rule of food""",Second-Year ,"Springfield, VA"
76,1/16/25 20:14,1/16/25 20:17,anonymous,NA,Yes ,"I would vote third party if I had the option. A hot dog exists in a nebulous middle zone, not sandwich but also not not sandwich. Schrodinger's hot dog....",Second-Year ,"Blacksburg, VA"
77,1/16/25 20:21,1/16/25 20:22,anonymous,NA,Yes ,material between bread.,Graduate Student,NoVA
78,1/17/25 11:11,1/17/25 11:11,anonymous,NA,No,It’s one piece of bread. ,Third-Year,"Chantilly, VA "
79,1/17/25 11:11,1/17/25 11:11,anonymous,NA,No,It is a sub,Second-Year ,Hk
80,1/17/25 13:45,1/17/25 13:46,anonymous,NA,Yes ,It has bread and things on the inside ,Fourth-Year ,Northern Virginia (Springfield)
81,1/17/25 16:54,1/17/25 17:02,anonymous,NA,Yes ,"Merriam Webster has two definitions for sandwich, the first being our social norm of two peices of bread and the second being anything with bread on both sides and food in between. So it is a not a conventional ""sandwich"" in the way most use the term but it is still by definition a sandwich in the broader sense that subs, hoagies are all subsets within the sandwich family.",Second-Year ,Richmond 
82,1/17/25 17:53,1/17/25 17:54,anonymous,NA,Yes ,"Yes. If you can make a sandwich out of a croissant, u can make one out of a hotdog bun .",Second-Year ,nova
83,1/18/25 8:32,1/18/25 8:33,anonymous,NA,Yes ,A meatball sub is a sandwich and I feel like most people would consider a burger a sandwich too so a hotdog’s just another sandwich with a different meat shape,Third-Year,Northern VA
84,1/21/25 11:12,1/21/25 11:12,anonymous,NA,No,NA,Fourth-Year ,NA
85,1/21/25 11:13,1/21/25 11:13,anonymous,NA,Yes ,"A sandwich is defined as a piece or two pieces of bread with filling inbetween. By that definition, it should logically be a sandwich, though culturally it can be classified as its own thing",Fourth-Year ,Florida
86,1/21/25 11:13,1/21/25 11:14,anonymous,NA,No,NA,Fourth-Year ,Williamsburg
87,1/21/25 11:14,1/21/25 11:14,anonymous,NA,No,NA,Fourth-Year ,NA
88,1/21/25 11:13,1/21/25 11:15,anonymous,NA,No,"Every sandwich has a prefix, hotdogs do not. Therefore, a hotdog is its own category.",Fourth-Year ,"Scottsdale, Arizona"
89,1/21/25 11:14,1/21/25 11:15,anonymous,NA,Yes ,A philly cheesesteak is clearly a sandwich and uses the same type of bread. Hotdog should be no different.,Fourth-Year ,"Williamsburg, VA"
90,1/21/25 11:14,1/21/25 11:15,anonymous,NA,No,it's a single piece of bread,Fourth-Year ,VA
91,1/21/25 11:14,1/21/25 11:15,anonymous,NA,Yes ,"By definition, it is a sandwich. Socially, it is not. Thus, it is a sandwich. ",Fourth-Year ,Washington D.C.
92,1/21/25 11:15,1/21/25 11:16,anonymous,NA,Yes ,"A hotdog is a sandwich due to having meat/other toppings in between two pieces of bread.  It is no different than an Italian sandwich, the meat is just in tube form.",Fourth-Year ,Charlottesville
93,1/21/25 11:14,1/21/25 11:16,anonymous,NA,Yes ,"Cheesesteak, Sub, etc.",Fourth-Year ,Boston
94,1/21/25 11:13,1/21/25 11:16,anonymous,NA,No,A hot dog is an ambiguous delicacy that is a staple of American cuisine and culture. It's strong stature and history make it independent and not needing to be carelessly clumped into a category such as a sandwich.,Fourth-Year ,"Richmond, Virginia"
95,1/21/25 11:15,1/21/25 11:16,anonymous,NA,No,"It is not. A Hot Dog is a Hot Dog, not a sandwich. If you to the grocery store and buy hot dogs you are buying the sausage with hot dog buns on the side, which clearly explains it is not a sandwich.",Fourth-Year ,"Guayaquil, Ecuador"
96,1/21/25 11:14,1/21/25 11:16,anonymous,NA,Yes ,"It has meat and other toppings contained in bread, it is portable",Fourth-Year ,Virginia
97,1/21/25 11:13,1/21/25 11:17,anonymous,NA,Yes ,It fits the technical Meriam Webster definition of a sandwhich. ,Fourth-Year ,"Ashburn, VA"
98,1/21/25 11:17,1/21/25 11:17,anonymous,NA,Yes ,A philly cheesesteak is a sandwich and so is a hot dog. ,Fourth-Year ,Williamsburg
99,1/21/25 11:15,1/21/25 11:17,anonymous,NA,Yes ,"based on the definition: ""two or more slices of bread or a split roll having a filling in between"" a hotdog in sandwich ",Fourth-Year ,"Charlotte, NC"
100,1/21/25 11:16,1/21/25 11:18,anonymous,NA,Yes ,If subway makes sandwiches then hotdogs count. ,Fourth-Year ,D.C.
101,1/21/25 11:18,1/21/25 11:19,anonymous,NA,No,NA,Fourth-Year ,NA
102,1/21/25 11:17,1/21/25 11:19,anonymous,NA,Yes ,NA,Fourth-Year ,"Fairfax, VA"
103,1/21/25 11:19,1/21/25 11:19,anonymous,NA,Yes ,NA,Fourth-Year ,"Fairfax, VA"
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
yikyak,yikyak,yikyak,anonymous,NA,No,yikyak,NA,NA
